お金で解決できないことは、ほとんどありません。 [1:0.30s]
この言葉を聞いて、どう感じましたか。 [2:0.30s]
そうだと思いましたか。 [3:0.30s]
それとも「お金がすべてじゃない」と反発しましたか。 [4:0.30s]
その反応こそが、あなたのお金に対するブロックを示しているかもしれません。 [5:0.30s]
今回の動画では、なぜ多くの人がお金を引き寄せられないのか、そのメンタルブロックの正体と解除の方法について、心理学とスピリチュアルの両面からお伝えします。 [6:0.30s]
まず、お金に対するブロックとは何かを理解しましょう。 [7:0.30s]
お金のブロックとは、お金を稼ぐこと、持つこと、使うことに対する無意識の抵抗です。 [8:0.30s]
意識的には「もっとお金が欲しい」と思っていても、無意識レベルではお金は悪だ「自分にはお金を持つ資格がない」「お金を持つと何か悪いことが起きる」と信じている状態です。 [9:0.30s]
この無意識の信念が、行動を制限します。 [10:0.30s]
チャンスが来ても見逃す、稼いでもすぐに使ってしまう、価格を低く設定してしまう、お金の話を避ける。 [11:0.30s]
こうした行動パターンの背後に、ブロックがあります。 [12:0.30s]
では、このブロックはどこから来るのでしょうか。 [13:0.30s]
多くの場合、幼少期の経験から来ています。 [14:0.30s]
お金は汚い「金持ちは悪い人だ」「お金でもめ事が起きる」「うちはお金がないから」。 [15:0.30s]
親や周囲の大人がこうしたメッセージを発していると、子供はそれを吸収します。 [16:0.30s]
また、お金で嫌な経験をした場合も、ブロックが形成されます。 [17:0.30s]
借金で家庭が崩壊した、お金のために両親が喧嘩した、お金がなくて恥ずかしい思いをした。 [18:0.30s]
こうした経験が、「お金は問題の元」という信念を作ります。 [19:0.30s]
宗教的な影響もあります。 [20:0.30s]
清貧こそ美徳「金持ちが天国に入るのは難しい」といったメッセージは、豊かさへの罪悪感を植え付けることがあります。 [21:0.30s]
ヨガナンダは言いました。 [22:0.30s]
「お金は単なるエネルギーである。 [23:0.30s]
良いも悪いもない。 [24:0.30s]
それをどう使うかが問題なのだ」と。 [25:0.30s]
スピリチュアルな視点から、お金とは何かを考えてみましょう。 [26:0.30s]
お金は、エネルギーの一形態です。 [27:0.30s]
すべてはエネルギーであり、お金もその例外ではありません。 [28:0.30s]
お金は、価値の交換を可能にする媒介です。 [29:0.30s]
自然界にも、エネルギーの循環があります。 [30:0.30s]
お金も、循環するものです。 [31:0.30s]
豊かさは宇宙の本質です。 [32:0.30s]
宇宙は無限に豊かで、絶えず創造し、与え続けています。 [33:0.30s]
星の数、植物の種、生命の多様性。 [34:0.30s]
欠乏ではなく、豊富が宇宙の特徴です。 [35:0.30s]
人間だけが足りないという幻想を抱いています。 [36:0.30s]
競争、比較、恐怖から足りないと信じていますが、これは真実ではありません。 [37:0.30s]
豊かさは本来のあり方であり、欠乏は信念が作り出した幻想です。 [38:0.30s]
仏陀は言いました。 [39:0.30s]
「あなたが考えるように、あなたはなる」と。 [40:0.30s]
お金について何を考えるかが、お金とのあなたの関係を決めます。 [41:0.30s]
ある男性の話をしましょう。 [42:0.30s]
彼は長年、お金に苦労していました。 [43:0.30s]
どれだけ働いても貯金がたまらない、入ってきてもすぐに出ていく、お金の心配が絶えない。 [44:0.30s]
彼は「もっと稼げば解決する」と思い、より多く働きました。 [45:0.30s]
しかし、収入が増えても、支出も増え、状況は変わりませんでした。 [46:0.30s]
あるとき、彼は自分のお金に対する信念を探り始めました。 [47:0.30s]
すると、驚くべきことが分かりました。 [48:0.30s]
彼の父親は、お金があると浪費して失敗するタイプでした。 [49:0.30s]
そして、彼は無意識に「お金を持つと失敗する」と信じていたのです。 [50:0.30s]
だから、お金が入ってくると、無意識にそれを手放そうとしていた。 [51:0.30s]
また、母親は「お金持ちは冷たい人だ」とよく言っていました。 [52:0.30s]
彼は心の奥で「お金を持つと、愛される人間ではなくなる」と信じていました。 [53:0.30s]
これらのブロックに気づいたとき、彼は解放が始まったのを感じました。 [54:0.30s]
これらは親の信念であり、真実ではなかった。 [55:0.30s]
自分は違う信念を選べる。 [56:0.30s]
彼は意識的に信念を書き換え始めました。 [57:0.30s]
「お金は良いことに使える」「豊かでも愛情深くいられる」「自分は豊かさを受け取る価値がある」。 [58:0.30s]
一年後、彼の資産状況は劇的に改善していました。 [59:0.30s]
同じ収入でも、管理できるようになった。 [60:0.30s]
新しいチャンスが見えるようになった。 [61:0.30s]
お金がこわくなくなった。 [62:0.30s]
お金のブロックを解除する具体的な方法をお伝えします。 [63:0.30s]
まず、自分の信念を特定してください。 [64:0.30s]
お金は~だと続く文を十個書き出してみてください。 [65:0.30s]
お金は汚い「お金は争いの元」お金は稀少だなど。 [66:0.30s]
書き出したものを見て、それがどこから来たか考えてください。 [67:0.30s]
