この動画は、あなたの人生を変えるかもしれません。 [1:0.30s]
大げさに聞こえるかもしれませんが、これから紹介する五つの秘密は、人生のあらゆる面に影響を与える根本的な法則だからです。 [2:0.30s]
成功者と呼ばれる人々、幸せに生きている人々に共通する、目に見えない原則。 [3:0.30s]
それを今から明かします。 [4:0.30s]
この五つの秘密は、私が何十年もかけて様々な伝統から学んできたエッセンスです。 [5:0.30s]
東洋の叡智と西洋の科学、古代の教えと現代の発見。 [6:0.30s]
それらが指し示す共通の真実があります。 [7:0.30s]
第一の秘密は「意識が現実を創る」ということです。 [8:0.30s]
量子物理学が明らかにしたように、観察者の意識は観察される対象に影響を与えます。 [9:0.30s]
有名な「二重スリット実験」では、電子は観察されていないときは波のように振る舞い、観察されると粒子のように振る舞うことが示されました。 [10:0.30s]
観察という行為自体が、現実の在り方を変えるのです。 [11:0.30s]
私たちが現実と呼んでいるものは、意識によって創造されている可能性があります。 [12:0.30s]
これは単なる哲学的な空論ではありません。 [13:0.30s]
最先端の物理学が示唆していることなのです。 [14:0.30s]
これは、スピリチュアルな教えが何千年も前から語ってきたことでもあります。 [15:0.30s]
仏陀は「心が全ての現象の先駆けである。 [16:0.30s]
心によって導かれ、心によって作られる」と説きました。 [17:0.30s]
あなたの心の状態が、あなたが経験する現実を形作っているのです。 [18:0.30s]
ヨガナンダもまた「あなたの思考があなたの運命を決める。 [19:0.30s]
思考を変えれば、運命も変わる」と語りました。 [20:0.30s]
これは単なる精神論ではありません。 [21:0.30s]
思考が行動を決め、行動が習慣を決め、習慣が人生を決める。 [22:0.30s]
この連鎖を通じて、思考は確かに運命を創造しているのです。 [23:0.30s]
あなたが何を考え、何を信じ、何に意識を向けているか。 [24:0.30s]
それが、あなたの現実を形作っています。 [25:0.30s]
ネガティブなことばかり考えていれば、ネガティブな現実が強化されます。 [26:0.30s]
可能性に意識を向ければ、可能性が見えてきます。 [27:0.30s]
ある男性の話をしましょう。 [28:0.30s]
彼は長年「自分は運が悪い」と信じていました。 [29:0.30s]
実際、彼の周りでは悪いことが続いていました。 [30:0.30s]
仕事は行き詰まり、人間関係はうまくいかず、健康も優れなかった。 [31:0.30s]
あるとき、彼は意識と現実の関係について学びました。 [32:0.30s]
自分の思考パターンを観察してみると、確かにネガティブなことばかり考えていたことに気づきました。 [33:0.30s]
彼は実験として、意識を変えてみることにしました。 [34:0.30s]
毎朝、良いことが起きると想像する時間を持った。 [35:0.30s]
ネガティブな思考が湧いたら、意識的にポジティブな思考に置き換えた。 [36:0.30s]
最初は作り物のように感じましたが、続けているうちに、不思議な変化が起き始めました。 [37:0.30s]
小さな良いことに気づくようになった。 [38:0.30s]
以前なら見逃していたチャンスに気づくようになった。 [39:0.30s]
人との関係も改善し始めた。 [40:0.30s]
一年後、彼の人生は見違えるように変わっていました。 [41:0.30s]
彼は言いました。 [42:0.30s]
「客観的な状況が劇的に変わったわけではない。 [43:0.30s]
でも、同じ状況をどう見るかが変わったら、経験する現実が変わった」と。 [44:0.30s]
思考を変えれば、現実は変わります。 [45:0.30s]
これが第一の秘密です。 [46:0.30s]
第二の秘密は「すべては繋がっている」ということです。 [47:0.30s]
現代物理学の量子もつれという現象をご存知でしょうか。 [48:0.30s]
一度相互作用した二つの粒子は、どれだけ離れていても、一方に変化が起きると、もう一方も瞬時に影響を受けます。 [49:0.30s]
光の速度を超えて、情報が伝わるかのようです。 [50:0.30s]
これは、宇宙のすべてが根本的なレベルでつながっていることを示唆しています。 [51:0.30s]
私たちが別々の存在だと思っているものは、実は一つの全体の異なる表れなのかもしれません。 [52:0.30s]
古代の叡智もこれを知っていました。 [53:0.30s]
インドのヴェーダンタ哲学ではブラフマンという概念があります。 [54:0.30s]
これは、宇宙のすべてを貫く究極の実在であり、個々の存在はその表れに過ぎないという教えです。 [55:0.30s]
仏教の縁起の思想も同様です。 [56:0.30s]
すべての現象は、他の現象との関係の中で生じている。 [57:0.30s]
何一つとして、独立して存在するものはない。 [58:0.30s]
私たちは互いにつながり合い、影響を与え合っている。 [59:0.30s]
道教の道（タオ）もまた、すべてを貫く一つの原理を指します。 [60:0.30s]
万物は道から生じ、道に帰る。 [61:0.30s]
その意味で、すべては一つなのです。 [62:0.30s]
このつながりを感じるとき、何が変わるでしょうか。 [63:0.30s]
一つは、孤独感が和らぐことです。 [64:0.30s]
自分だけが苦しんでいる、自分だけが取り残されている。 [65:0.30s]
そういう感覚は、分離の錯覚から来ています。 [66:0.30s]
すべてがつながっていることを感じると、孤独は溶けていきます。 [67:0.30s]
もう一つは、助けが自然とやってくることです。 [68:0.30s]
宇宙全体とつながっているなら、必要な助けは必要なときに現れます。 [69:0.30s]
それを信頼できるようになると、力みが減り、人生がスムーズに流れ始めます。 [70:0.30s]
ヨガナンダは言いました。 [71:0.30s]
「あなたが宇宙の一部であることを真に理解したとき、宇宙があなたを支えていることに気づくだろう」と。 [72:0.30s]
あなたは孤立した存在ではありません。 [73:0.30s]
すべてとつながっている宇宙の一部です。 [74:0.30s]
このつながりを感じるとき、孤独は消え、助けは自然とやってきます。 [75:0.30s]
これが第二の秘密です。 [76:0.30s]
第三の秘密は「与えたものが返ってくる」ということです。 [77:0.30s]
カルマの法則は、あらゆる文化で語られてきました。 [78:0.30s]
「蒔いた種は刈り取る」というキリスト教の教え。 [79:0.30s]
因果応報という仏教の概念。 [80:0.30s]
作用と反作用という物理法則。 [81:0.30s]
表現は違えど、本質は同じです。 [82:0.30s]
あなたが発するエネルギーは、必ず何らかの形で返ってきます。 [83:0.30s]
愛を与えれば愛が返り、怒りを与えれば怒りが返る。 [84:0.30s]
豊かさを分かち合えば豊かさが増し、執着して握りしめれば豊かさは減っていく。 [85:0.30s]
これは即座に起こるとは限りません。 [86:0.30s]
種を蒔いてから実るまで、時間がかかることもあります。 [87:0.30s]
しかし、法則は確実に働いています。 [88:0.30s]
ある女性の話をしましょう。 [89:0.30s]
