眠れない夜、時計の音がやけに大きく響く。 [1:0.30s]
針が進むたびに、自分の時間が削れていく気がする。 [2:0.30s]
そんな夜は、セネカの言葉を借りよう。 [3:0.30s]
彼は「人生は短い。 [4:0.30s]
しかし、短さに気づいた者は、夜を長く使える」と書いた。 [5:0.30s]
今夜は、あなたの短い時間を、静かに、妖しく、手のひらで転がすための時間だ。 [6:0.30s]
セネカは古代ローマの哲人であり、皇帝ネロの指南役だった。 [7:0.30s]
権力の真ん中にいながら、彼は夜になると書斎に戻り、友人リュキリウスへの手紙を書く。 [8:0.30s]
蝋燭を一本だけ灯し、外套を肩にかけ、静かな筆を走らせた。 [9:0.30s]
昼間に飲み込んだ怒りや恐れを、彼は紙の上でゆっくり溶かした。 [10:0.30s]
彼の夜は、短い人生を濃くするための儀式だった。 [11:0.30s]
皇帝の不興を買い、彼はコルシカ島に流されたこともある。 [12:0.30s]
島では豪華な宮殿もなく、波の音と冷たい石の床だけが友だった。 [13:0.30s]
夜、石壁に背を預け、遠くの灯台の光が海面で揺れるのを見て過ごした。 [14:0.30s]
何もない夜が、逆に時間を増やした。 [15:0.30s]
彼は「欠けた夜ほど、時間が豊かになる」と手紙に記した。 [16:0.30s]
あなたの夜にも、一本の蝋燭を立てる代わりに、小さな光源を一つだけ残す。 [17:0.30s]
スマートフォンの光ではなく、柔らかな間接照明か、小さなライト。 [18:0.30s]
光を一つに絞ると、時間がそこに集まる。 [19:0.30s]
光を見つめながら、四拍で吸い、四拍で止め、六拍で吐く。 [20:0.30s]
止めている時間が、あなたの時間の財布になる。 [21:0.30s]
財布を握るように、止める。 [22:0.30s]
光のそばに手をかざし、指の影が壁に落ちるのを眺める。 [23:0.30s]
影の輪郭が揺れるたび、砂時計の砂が落ちる音を想像する。 [24:0.30s]
あなたが吐く息が砂になり、止める息で砂が一瞬宙に浮く。 [25:0.30s]
浮いた砂がゆっくり落ちるとき、時間はあなたのものになる。 [26:0.30s]
セネカは「時間は借金ではなく、盗まれるものだ」と言った。 [27:0.30s]
誰かの頼み事、終わらない通知、過去の後悔が、少しずつ時間を盗む。 [28:0.30s]
夜は、盗まれた時間を取り戻す場だ。 [29:0.30s]
枕元に小さな紙を置き、今日盗まれたと感じたことを三つまで書く。 [30:0.30s]
「長い会議」「余計な心配」「誰かの愚痴」。 [31:0.30s]
書いたら、紙を二つに折り、折り目を指で強くなぞる。 [32:0.30s]
その折り目が、奪われた時間を返す境界線になる。 [33:0.30s]
折り目をなぞった指を、反対の手の甲の血管に沿って滑らせる。 [34:0.30s]
血管は時間の川だ。 [35:0.30s]
川を下りながら、奪われた時間を手首に送り返すイメージを持つ。 [36:0.30s]
手首がじんわり温かくなれば、時間が戻ってきている。 [37:0.30s]
セネカはよく「時間の投資」という言葉を使った。 [38:0.30s]
彼にとって投資とは、未来の富ではなく、今の心の澄み具合だった。 [39:0.30s]
あなたも投資をする。 [40:0.30s]
布団の横に小さな容器か箱を置き、そこに今日の「良かった一瞬」を一つだけ入れる。 [41:0.30s]
実物がなくてもいい。 [42:0.30s]
入れるふりでいい。 [43:0.30s]
誰かの笑い声、夕方の風、夕飯の香り。 [44:0.30s]
手を容器に差し入れる所作が、時間を貯める所作になる。 [45:0.30s]
容器の蓋があるなら、軽く閉めて、指で二度だけ叩く。 [46:0.30s]
蓋を叩く音が、時間の貯蔵庫に鍵をかける音になる。 [47:0.30s]
蓋がないなら、手のひらを被せて、手の温度で封をする。 [48:0.30s]
セネカは夜に冷水を好んだ。 [49:0.30s]
浴びるのではなく、顔を濡らすだけ。 [50:0.30s]
冷たさで頭を澄ませ、熱い感情を少しだけ鎮めた。 [51:0.30s]
あなたも、濡れタオルを額に一度当て、すぐに外す。 [52:0.30s]
冷たさが額から胸に落ちる感覚を追う。 [53:0.30s]
胸の中心に落ちた冷たさが火と混ざり、少し甘い蒸気になる。 [54:0.30s]
蒸気を吸うように、ゆっくり呼吸する。 [55:0.30s]
彼は毎晩、少しだけ自分を裁いた。 [56:0.30s]
「今日は怒りに流されたか」「余計な言葉を吐いたか」。 [57:0.30s]
そして必ず、自分を赦した。 [58:0.30s]
「明日は少しだけ良くする」と。 [59:0.30s]
あなたも、夜に短い裁きをする。 [60:0.30s]
目を閉じ、今日の自分に一つだけ問いを投げる。 [61:0.30s]
「今日、時間を無駄にした瞬間はどこか」。 [62:0.30s]
一つ浮かんだら、同じだけ「良かった瞬間」を並べる。 [63:0.30s]
並べ終えたら、両手を胸に重ね、「今日はここまで」と心で言う。 [64:0.30s]
これ以上追わない。 [65:0.30s]
それが赦しの合図だ。 [66:0.30s]
裁きと赦しの間で、胸に薄い布やハンカチを一枚置く。 [67:0.30s]
布の重さが心臓の拍を少し抑え、時間の鼓動をゆっくりにする。 [68:0.30s]
布の下で心臓が静かに叩くのを感じ、叩きに合わせて唇を閉じたまま短くハミングする。 [69:0.30s]
振動が布を通り、胸に戻る。 [70:0.30s]
セネカは「死は一度きりだが、時間を無駄にする死は日々起きる」と言った。 [71:0.30s]
無駄な死を止めるため、彼は夜に「小さな死」をわざと演じた。 [72:0.30s]
