眠れない夜、胸の奥がざわつく。 [1:0.30s]
過去の言葉、明日の予定、誰かの視線。 [2:0.30s]
雑音が頭の中で鳴り続け、ベッドの上で身じろぎする。 [3:0.30s]
そんな夜は、デヴィッド・R・ホーキンズの静かな周波数を借りよう。 [4:0.30s]
彼は「周波数は嘘をつかない」と言った。 [5:0.30s]
言葉や理屈より、今この瞬間の振動が真実だと。 [6:0.30s]
今夜は、あなたの周波数を静かに整え、眠りへチューニングする時間にする。 [7:0.30s]
ホーキンズは精神科医として患者に向き合いながら、人の意識には階段のような周波数の段があると考えた。 [8:0.30s]
怒りや恐怖は低く重い振動を出し、愛や感謝は高く澄んだ振動を出す。 [9:0.30s]
彼自身も病や失敗を経験し、その夜々に自分の周波数を確かめた。 [10:0.30s]
彼は口で説くより、静かな所作で周波数を変えた。 [11:0.30s]
今夜は、その所作を真似る。 [12:0.30s]
まず、部屋の灯りを一つに絞る。 [13:0.30s]
強い光は振動を乱す。 [14:0.30s]
弱い光の下で、両手を胸に重ね、鼓動を聞く。 [15:0.30s]
鼓動はあなた固有のベース音だ。 [16:0.30s]
四拍で吸い、四拍で止め、八拍で吐く。 [17:0.30s]
止めるとき、音が消える。 [18:0.30s]
消えた一瞬に、周波数が整い始める。 [19:0.30s]
ホーキンズは「力みは周波数を濁らせる」と言った。 [20:0.30s]
力を抜くために、肩を上げて落とす動きを三度だけ行う。 [21:0.30s]
上げるときに「重さ」、落とすときに「軽さ」と心で唱える。 [22:0.30s]
言葉に力を持たせず、リズムだけを感じる。 [23:0.30s]
リズムが揃うと、振動は澄んでいく。 [24:0.30s]
彼は「真実は静けさの中にある」と語った。 [25:0.30s]
静けさを作るために、スマートフォンを伏せ、布をかける。 [26:0.30s]
布の下で世界が動いていても、あなたは動かない。 [27:0.30s]
布の向こうを「雑音」、こちらを「静けさ」と名付ける。 [28:0.30s]
名付けると、境界ができ、周波数が落ち着く。 [29:0.30s]
ホーキンズは瞑想で「ハートの中心」に意識を置いた。 [30:0.30s]
あなたも、胸の中央に意識を置く。 [31:0.30s]
指先で胸骨の上を軽く叩き、そこがスピーカーだと思う。 [32:0.30s]
叩いたあと、指を離し、音の余韻を胸の奥に感じる。 [33:0.30s]
余韻が小さな振動となって、全身に広がる。 [34:0.30s]
彼は「感謝は周波数を一瞬で上げる」と言った。 [35:0.30s]
今夜、一つだけ感謝を選ぶ。 [36:0.30s]
小さなことでいい。 [37:0.30s]
「今日飲んだお茶の香り」「誰かと目が合った瞬間」。 [38:0.30s]
心の中で「ありがとう」と一度だけ言い、飲み込む。 [39:0.30s]
飲み込んだ言葉が胸のスピーカーで響き、音色が少し明るくなる。 [40:0.30s]
ホーキンズは「重い感情を否定しない」と教えた。 [41:0.30s]
恐れも怒りも周波数だ。 [42:0.30s]
枕元の紙に今夜の重さを一言書く。 [43:0.30s]
