「引き寄せの法則」を実践したのに、うまくいかなかった。 [1:0.30s]
そう思っていませんか。 [2:0.30s]
ポジティブに考えた、願望をイメージした、アファメーションを唱えた。 [3:0.30s]
でも、何も変わらなかった。 [4:0.30s]
だから、引き寄せの法則は嘘だと結論づけた方もいるかもしれません。 [5:0.30s]
しかし、ちょっと待ってください。 [6:0.30s]
うまくいかなかったのは、法則が間違っていたからではなく、法則の真実を知らなかったからかもしれません。 [7:0.30s]
今回の動画では、引き寄せの法則の本当の姿と、多くの人が陥る落とし穴、そして本当に効果を出すための方法についてお伝えします。 [8:0.30s]
まず、引き寄せの法則とは何かを確認しましょう。 [9:0.30s]
引き寄せの法則とは、「あなたが発する波動と同じ波動のものが、あなたの現実に引き寄せられる」という考え方です。 [10:0.30s]
ポジティブな思考はポジティブな現実を引き寄せ、ネガティブな思考はネガティブな現実を引き寄せる。 [11:0.30s]
この法則は、古代から知られていました。 [12:0.30s]
「思考は現実を創る」という概念は、多くのスピリチュアル伝統に見られます。 [13:0.30s]
しかし、現代の「引き寄せの法則」は、しばしば単純化されすぎています。 [14:0.30s]
「欲しいものを考えれば、それが手に入る」「ポジティブに考えるだけで、人生が変わる」。 [15:0.30s]
これは部分的な真実であり、全体像ではありません。 [16:0.30s]
ヨガナンダは言いました。 [17:0.30s]
「思考には創造力がある。 [18:0.30s]
しかし、思考だけでは不十分だ。 [19:0.30s]
行動と意識の浄化が伴わなければならない」と。 [20:0.30s]
引き寄せの法則がうまくいかない理由を見ていきましょう。 [21:0.30s]
まず、思考と潜在意識の違いを理解していないことがあります。 [22:0.30s]
表面的な思考、つまり意識的に考えていることと、潜在意識に刻まれた信念は、しばしば異なります。 [23:0.30s]
「お金持ちになりたい」と考えていても、潜在意識では「自分にはその価値がない」お金は悪だと信じていることがあります。 [24:0.30s]
潜在意識は、意識よりもはるかに強力です。 [25:0.30s]
表面で何を考えていても、潜在意識が反対を信じていれば、潜在意識が勝ちます。 [26:0.30s]
ですから、本当に引き寄せたいなら、潜在意識の信念を変える必要があるのです。 [27:0.30s]
次に、欲しいという思考自体が問題になることがあります。 [28:0.30s]
欲しいという思考は、「今、持っていない」という現実を強調します。 [29:0.30s]
そして、引き寄せの法則によれば、持っていないという波動を発すると、持っていない現実が引き寄せられます。 [30:0.30s]
パラドックスのように聞こえますが、本当に何かを引き寄せたいなら、「すでに持っている」という意識を持つ必要があります。 [31:0.30s]
感謝、充足感、完了した感覚。 [32:0.30s]
